,Title,Artist,ConstituentID,Date,Medium,CreditLine,AccessionNumber,DateAcquired,ObjectID,ApproxDate,YearAcquired,ArtistOrder
964,Prisma Tumblers,Kaj Franck,1968,1967,Glass,Given anonymously,2254.2001.1-3,2001-09-24,1091,1967.0,2001,8
1000,Tea Strainer,Bertel Gardberg,7381,1955,Metal,Given anonymously,2256.2001.a-b,2001-09-24,1184,1955.0,2001,10
1001,Triennale Flatware,Bertel Gardberg,7381,1957,Metal,Given anonymously,2257.2001.1-2,2001-09-24,1185,1957.0,2001,10
1103,Kilta Storage Container,Kaj Franck,1968,1948,Ceramics,Gift of Nina and Gordon Bunshaft,20.1997.1-2,1997-01-15,1572,1948.0,1997,8
1108,Kilta Storage Container,Kaj Franck,1968,1948,Ceramics,Gift of Nina and Gordon Bunshaft,21.1997.a-b,1997-01-15,1583,1948.0,1997,8
1112,Pitcher 1621-100cl,Kaj Franck,1968,c. 1953,Glass,Gift of Peter S. Reed,22.1997,1997-01-15,1594,1953.0,1997,8
1144,Block Lamp,Harri Koskinen,8417,1996,Glass,Gift of the manufacturer,30.2000,2000-01-19,1673,1996.0,2000,18
1250,Dish,Alvar Aalto,34,Late 1930s,Glass,Gift of Mrs. Susanne Wasson-Tucker,54.1946,1946-05-07,1866,1930.0,1946,2
1255,Child's Chair (model 103),"Alvar Aalto, Aino Aalto","34, 35",Designed 1929 (this example ca. 1936),Wood,"Gift of Artek-Pascoe, Inc.",55.1946,1946-05-07,1872,1929.0,1946,2
1263,Stacking Stools (model 60),Alvar Aalto,34,1932-33,Wood,"Gift of Artek-Pascoe, Inc.",56.1946.1,1946-05-07,1881,1932.0,1946,2
1264,Stacking Stools (model 60),Alvar Aalto,34,1932–1933,Wood,"Gift of Artek-Pascoe, Inc.",56.1946.1-3,1946-05-07,1882,1932.0,1946,2
1265,Stacking Stools (model 60),Alvar Aalto,34,1932-33,Wood,"Gift of Artek-Pascoe, Inc.",56.1946.2,1946-05-07,1883,1932.0,1946,2
1335,Casserole,Timo Sarpaneva,5168,1959,Metal,Gift of the designer,71.1990.a-c,1990-01-17,1980,1959.0,1990,29
1469,Bowl,Göran Hongell,2720,1930s,Glass,Gift of Finland Ceramics & Glass Corp.,109.1948,1948-03-17,2150,1930.0,1948,13
1505,Woodnotes Textile,Ritva Puotila,7510,1987-91,Paper,Gift of the manufacturer,117.1996.1-6,1996-04-09,2191,1987.0,1996,26
1511,Pitcher,Kaj Franck,1968,1954,Glass,Best Products Co. Fund,119.1992,1992-01-15,2200,1954.0,1992,8
1515,Tumblers,Kaj Franck,1968,1954,Glass,Best Products Co. Fund,120.1992.1-6,1992-01-15,2205,1954.0,1992,8
1544,Vase,Kaj Franck,1968,1955,Glass,Gift of the Finnish Ministry of Commerce and Industry,128.1957,1957-05-15,2243,1955.0,1957,8
1556,Jäkälä Vase,Tapio Wirkkala,6409,1950,Glass,Gift of the Finnish Ministry of Commerce and Industry,131.1957,1957-05-15,2256,1950.0,1957,35
1652,Sauna Stool,Antti Nurmesniemi,6613,1952,Wood,"Gift of the Palace Hotel, Helsinki",170.1991,1991-06-04,2369,1952.0,1991,23
1742,Stools (model Y61),Alvar Aalto,34,1946-47,Wood,Gift of John C. Waddell,194.1998.1-3,1998-01-01,2478,1946.0,1998,2
1751,Gyro Chair,Eero Aarnio,36,1968,Glass,Joy E. Feinberg Fund and Friends of the Department Fund,196.1987,1987-05-27,2490,1968.0,1987,3
1799,Kilta Tableware,Kaj Franck,1968,1948,Ceramics,"Gift of Waertsila Corporation, New York",144.1955.1-10,1955-04-06,2540,1948.0,1955,8
1800,Kilta Tableware,Kaj Franck,1968,1948,Ceramics,"Gift of Waertsila Corporation, New York",144.1955.10,1955-04-06,2541,1948.0,1955,8
1801,Kilta Tableware,Kaj Franck,1968,1948,Ceramics,"Gift of Waertsila Corporation, New York",144.1955.4,1955-04-06,2542,1948.0,1955,8
1802,Kilta Tableware,Kaj Franck,1968,1948,Ceramics,"Gift of Waertsila Corporation, New York",144.1955.5a-b,1955-04-06,2543,1948.0,1955,8
1803,Kilta Tableware,Kaj Franck,1968,1948,Ceramics,"Gift of Waertsila Corporation, New York",144.1955.9,1955-04-06,2544,1948.0,1955,8
1808,Convertible Sofa,Alvar Aalto,34,1930–1932,Metal,Phyllis B. Lambert Fund,145.1958,1958-12-04,2549,1930.0,1958,2
1811,Stacking Stool (model 60),Alvar Aalto,34,1932-33,Wood,Phyllis B. Lambert Fund,146.1958,1958-12-04,2553,1932.0,1958,2
1814,Stool (model X600),Alvar Aalto,34,1954,Wood,Phyllis B. Lambert Fund,147.1958,1958-12-04,2556,1954.0,1958,2
1955,Tea Trolley (model 98),Alvar Aalto,34,1936-37,Wood,"Gift of ICF, Inc.",216.1981,1981-04-30,2729,1936.0,1981,2
1970,Dinner Plates,Friedl Holzer-Kjellberg,2715,1954,Ceramics,Phyllis B. Lambert Fund,218.1958.1-2,1958-12-04,2747,1954.0,1958,12
1979,Double Teapot,"Francesca Lindh, Richard Lindh","3557, 3558",1956,Ceramics,Phyllis B. Lambert Fund,219.1958.1-2,1958-12-04,2758,1956.0,1958,19
2039,Pitcher,Kaj Franck,1968,1954,Glass,Phyllis B. Lambert Fund,226.1958,1958-12-04,2827,1954.0,1958,8
2047,Tumblers,Kaj Franck,1968,c. 1953,Glass,Phyllis B. Lambert Fund,227.1958.1-2,1958-12-04,2837,1953.0,1958,8
2053,Munankuori Bowl (model 3303),Gunnel Nyman,4352,1947,Glass,Gift of Finland Ceramics and Glass Corp.,228.1950,1950-06-08,2843,1947.0,1950,24
2089,Aarne Glasses,Göran Hongell,2720,1948,Glass,Phyllis B. Lambert Fund,232.1958.1-2,1958-12-04,2883,1948.0,1958,13
2098,Triennale Cocktail Glass,Timo Sarpaneva,5168,1956-1957,Glass,Phyllis B. Lambert Fund,233.1958,1958-12-04,2893,1956.0,1958,29
2129,Kilta Creamer,Kaj Franck,1968,c. 1953,Ceramics,Purchase,235.1994,1994-05-03,2926,1953.0,1994,8
