,Source,ObjectID,Title,Year,Medium,Artist,ArtistOrder,ConstituentID,Nationality,Gender,BeginDate,EndDate,Wiki QID,ULAN,MaterialOrder
0,MoMA,1091,Prisma Tumblers,1967.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0,1
1,MoMA,1184,Tea Strainer,1955.0,Metal,Bertel Gardberg,10,7381,Finnish,male,1916,2007,,,5
2,MoMA,1185,Triennale Flatware,1957.0,Metal,Bertel Gardberg,10,7381,Finnish,male,1916,2007,,,5
3,MoMA,1572,Kilta Storage Container,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0,2
4,MoMA,1583,Kilta Storage Container,1948.0,Ceramics,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0,2
5,MoMA,1594,Pitcher 1621-100cl,1953.0,Glass,Kaj Franck,8,1968,Finnish,male,1911,1989,Q909809,500103402.0,1
6,MoMA,1673,Block Lamp,1996.0,Glass,Harri Koskinen,18,8417,Finnish,male,1970,0,,,1
7,MoMA,1866,Dish,1930.0,Glass,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0,1
8,MoMA,1881,Stacking Stools (model 60),1932.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0,4
9,MoMA,1882,Stacking Stools (model 60),1932.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0,4
10,MoMA,1883,Stacking Stools (model 60),1932.0,Wood,Alvar Aalto,2,34,Finnish,male,1898,1976,Q82840,500002617.0,4
11,MoMA,1980,Casserole,1959.0,Metal,Timo Sarpaneva,29,5168,Finnish,male,1926,2006,Q2703990,500102782.0,5
12,MoMA,2047,Fish,1969.0,Other,Dora Jung,16,2953,Finnish,female,1906,1980,Q11856286,,6
13,MoMA,2150,Bowl,1930.0,Glass,Göran Hongell,13,2720,Finnish,male,1902,1973,,,1
