,id,images,nonPresenterAuthors,subjects,title,year,IndividualAuthor,ArtistOrder
0,lappeenrannanmuseot.0188C337-B8BA-4027-B85E-AE78D062092A,"['/Cover/Show?source=Solr&id=lappeenrannanmuseot.0188C337-B8BA-4027-B85E-AE78D062092A&index=0&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.0188C337-B8BA-4027-B85E-AE78D062092A&index=1&size=large']","[{'name': 'Aalto, Alvar', 'role': 'suunnittelija'}, {'name': 'Artek', 'role': 'valmistaja'}]","[['huonekalut'], ['naulakot'], ['seinähyllyt'], ['Luukkaan lastenkoti']]",naulakko; seinänaulakko,1930.0,Alvar Aalto,2
1,lappeenrannanmuseot.3db2044e-1b19-4514-903d-5d834aad43c4,"['/Cover/Show?source=Solr&id=lappeenrannanmuseot.3db2044e-1b19-4514-903d-5d834aad43c4&index=0&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.3db2044e-1b19-4514-903d-5d834aad43c4&index=1&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.3db2044e-1b19-4514-903d-5d834aad43c4&index=2&size=large']","[{'name': 'Aalto, Alvar', 'role': 'suunnittelija'}]","[['tuolit'], ['sairaalat'], ['tuberkuloosiparantolat']]",tuoli,1930.0,Alvar Aalto,2
2,lappeenrannanmuseot.48FD4DBA-A6F7-4184-AB74-77C387824866,"['/Cover/Show?source=Solr&id=lappeenrannanmuseot.48FD4DBA-A6F7-4184-AB74-77C387824866&index=0&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.48FD4DBA-A6F7-4184-AB74-77C387824866&index=1&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.48FD4DBA-A6F7-4184-AB74-77C387824866&index=2&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.48FD4DBA-A6F7-4184-AB74-77C387824866&index=3&size=large']","[{'name': 'Aalto, Alvar', 'role': 'suunnittelija, varma'}, {'name': 'Artek', 'role': 'valmistaja, varma'}]","[['muotoilu'], ['huonekalut'], ['päiväkodit'], ['lastenkodit'], ['kalusteet'], ['DESIGN'], ['tuolit'], ['LASTENKODIT'], ['1950-LUKU'], ['DESIGN-TUOLIT'], ['huonekalut'], ['päiväkodit'], ['DESIGNETUOTE']]",selkänojallinen pikkutuoli,1930.0,Alvar Aalto,2
3,lappeenrannanmuseot.6219dd3c-87f5-470e-bd59-046e0cb60579,"['/Cover/Show?source=Solr&id=lappeenrannanmuseot.6219dd3c-87f5-470e-bd59-046e0cb60579&index=0&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.6219dd3c-87f5-470e-bd59-046e0cb60579&index=1&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.6219dd3c-87f5-470e-bd59-046e0cb60579&index=2&size=large']","[{'name': 'Aalto, Alvar', 'role': 'suunnittelija'}]","[['tuolit'], ['sairaalat'], ['tuberkuloosiparantolat']]",tuoli,1930.0,Alvar Aalto,2
4,lappeenrannanmuseot.67B47DF2-AA24-4415-A480-309EC184921F,"['/Cover/Show?source=Solr&id=lappeenrannanmuseot.67B47DF2-AA24-4415-A480-309EC184921F&index=0&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.67B47DF2-AA24-4415-A480-309EC184921F&index=1&size=large', '/Cover/Show?source=Solr&id=lappeenrannanmuseot.67B47DF2-AA24-4415-A480-309EC184921F&index=2&size=large']","[{'name': 'Aalto, Alvar', 'role': 'suunnittelija'}, {'name': 'Artek', 'role': 'valmistaja'}]","[['naulakot'], ['huonekalut'], ['seinähyllyt']]",naulakko; seinänaulakko,1930.0,Alvar Aalto,2
5,museovirasto.63E82A0C5A7B76B7E947FC2FDD158257,['/Cover/Show?source=Solr&id=museovirasto.63E82A0C5A7B76B7E947FC2FDD158257&index=0&size=large'],"[{'name': 'Aalto, Alvar', 'role': 'suunnittelija varma', 'id': 'http://urn.fi/URN:NBN:fi:au:finaf:000068760'}]",[['nojatuolit']],nojatuoli,1930.0,Alvar Aalto,2
6,museovirasto.DF5293E56DBC4B60C6F947A3D2CB9CEA,['/Cover/Show?source=Solr&id=museovirasto.DF5293E56DBC4B60C6F947A3D2CB9CEA&index=0&size=large'],"[{'name': 'Aalto, Alvar', 'role': 'suunnittelija varma', 'id': 'http://urn.fi/URN:NBN:fi:au:finaf:000068760'}]",[['nojatuolit']],nojatuoli,1930.0,Alvar Aalto,2
7,husmuseo.hus-4142,['/Cover/Show?source=Solr&id=husmuseo.hus-4142&index=0&size=large'],"[{'name': 'Alvar Aalto', 'role': 'Suunnittelija'}, {'name': 'Alvar Aalto', 'role': 'Suunnittelija'}]","[['synnytyssairaalat'], ['huonekalut'], ['kalusteet'], ['odotustilat'], ['sairaalat'], ['tuolit'], ['1935-2010']]",Tuoli; Artek 69,1935.0,Alvar Aalto,2
8,kymenlaaksonmuseot.KarhE926:1,"['/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE926%3A1&index=0&size=large', '/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE926%3A1&index=1&size=large']","[{'name': 'Alvar Aalto', 'role': 'suunnittelija'}, {'name': 'Karhulan lasitehdas', 'role': 'valmistaja'}, {'name': 'Hugo Rask', 'role': 'puhaltaja'}]","[['maljat'], ['353 rakennusten varustus'], ['hoito ja palveluskunta sisustaminen ja sisustustekstilit'], ['531 taiteet taidekäsityö ja muotoilu'], ['323 perusraaka-aineiden jalostus keramiikka- ja lasiteollisuus'], ['1936 - 1936']]",malja; 9745,1935.0,Alvar Aalto,2
9,kymenlaaksonmuseot.KarhE928:3,"['/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE928%3A3&index=0&size=large', '/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE928%3A3&index=1&size=large', '/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE928%3A3&index=2&size=large']","[{'name': 'Alvar Aalto', 'role': 'suunnittelija'}, {'name': 'Karhulan lasitehdas', 'role': 'valmistaja'}, {'name': 'Hugo Rask', 'role': 'puhaltaja'}]","[['maljakot'], ['531 taiteet taidekäsityö ja muotoilu'], ['323 perusraaka-aineiden jalostus keramiikka- ja lasiteollisuus'], ['353 rakennusten varustus'], ['hoito ja palveluskunta sisustaminen ja sisustustekstilit'], ['1936 - 1936']]",maljakko; 9750; Savoy-maljakko,1935.0,Alvar Aalto,2
10,kymenlaaksonmuseot.KarhE928:5,"['/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE928%3A5&index=0&size=large', '/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE928%3A5&index=1&size=large', '/Cover/Show?source=Solr&id=kymenlaaksonmuseot.KarhE928%3A5&index=2&size=large']","[{'name': 'Alvar Aalto', 'role': 'suunnittelija'}, {'name': 'Hugo Rask', 'role': 'puhaltaja'}, {'name': 'Karhulan lasitehdas', 'role': 'valmistaja'}]","[['maljakot'], ['323 perusraaka-aineiden jalostus keramiikka- ja lasiteollisuus'], ['353 rakennusten varustus'], ['hoito ja palveluskunta sisustaminen ja sisustustekstilit'], ['531 taiteet taidekäsityö ja muotoilu'], ['1936 - 1936']]",maljakko; Savoy-maljakko; 9750,1935.0,Alvar Aalto,2
