,ConstituentID,DisplayName,ArtistBio,Nationality,Gender,BeginDate,EndDate,Wiki QID,ULAN
28,34,Alvar Aalto,"Finnish, 1898–1976",Finnish,male,1898,1976,Q82840,500002617.0
29,35,Aino Aalto,"Finnish, 1894–1949",Finnish,female,1894,1949,Q273511,500024110.0
30,36,Eero Aarnio,"Finnish, born 1932",Finnish,male,1932,0,Q707025,500270610.0
234,271,Olof Backstrom,"Finnish, 1922–1998",Finnish,male,1922,1998,,
1732,1968,Kaj Franck,"Finnish, 1911–1989",Finnish,male,1911,1989,Q909809,500103402.0
1815,2059,Akseli Gallen-Kallela,"Finnish, 1865–1931",Finnish,male,1865,1931,Q170068,500015305.0
2405,2715,Friedl Holzer-Kjellberg,"Finnish, born Austria. 1905–1993",Finnish,male,1905,1993,,
2409,2720,Göran Hongell,"Finnish, 1902–1973",Finnish,male,1902,1973,,
2413,2724,Saara Hopea,"Finnish, 1925–1984",Finnish,female,1925,1984,,
2618,2953,Dora Jung,"Finnish, 1906–1980",Finnish,female,1906,1980,Q11856286,
2836,3196,Valto Kokko,"Finnish, born 1933",Finnish,male,1933,2017,,
3154,3557,Francesca Lindh,"Finnish, born Italy 1931",Finnish,female,1931,0,,
3155,3558,Richard Lindh,"Finnish, 1929–2006",Finnish,male,1929,2006,,
3868,4346,Yki Nummi,"Finnish, born China. 1925–1984",Finnish,male,1925,1984,,
3873,4352,Gunnel Nyman,"Finnish, 1909–1948",Finnish,male,1909,1948,Q4970605,500279544.0
4594,5168,Timo Sarpaneva,"Finnish, 1926–2006",Finnish,male,1926,2006,Q2703990,500102782.0
5048,5666,Nanny Still,"Finnish, 1926–2009",Finnish,female,1926,2009,,
5165,5796,Olli Aninbaum,Finnish,Finnish,male,1945,2019,,
5454,6123,Jukka Veistola,"Finnish, born 1946",Finnish,male,1946,0,,
5706,6409,Tapio Wirkkala,"Finnish, 1915–1985",Finnish,male,1915,1985,Q550411,500097462.0
5893,6613,Antti Nurmesniemi,"Finnish, 1927–2003",Finnish,male,1927,2003,Q4777425,500003545.0
6462,7242,Kari Virtanen,"Finnish, born 1948",Finnish,male,1948,0,,
6512,7381,Bertel Gardberg,"Finnish, 1916–2007",Finnish,male,1916,2007,,
6623,7510,Ritva Puotila,"Finnish, born 1935",Finnish,female,1935,0,,
7353,8417,Harri Koskinen,"Finnish, born 1970",Finnish,male,1970,0,,
8515,11621,Tapio Salmelainen,"Finnish, born 1941",Finnish,male,1941,0,,
8781,22564,Teppo Asikainen,"Finnish, born 1968",Finnish,male,1968,0,,
8790,22574,Markus Nevalainen,"Finnish, born 1970",Finnish,male,1970,0,,
8802,22586,Vesa Hinkola,"Finnish, born 1970",Finnish,,1970,0,,
8803,22587,Rane Vaskivuori,"Finnish, born 1967",Finnish,,1967,0,,
9000,23348,Per-Olof Nyström,"Finnish, 1925–1996",Finnish,male,1925,1996,,
10415,29260,Maria Jauhiainen,"Finnish, born 1971",Finnish,female,1971,0,,
14364,64766,Eliel Saarinen,"Finnish, 1873–1950",Finnish,male,1873,1950,,
15041,131528,Caroline Slotte,"Finnish, born 1975",Finnish,female,1975,0,,
15339,134524,Taneli Armanto,Finnish,Finnish,male,0,0,,
